customer_id,recency_days,frequency,monetary_value,average_order_value,last_purchase_date
12347,2,7,4310.0,615.7142857142857,2011-12-07 15:52:00
12348,75,4,1797.24,449.31,2011-09-25 13:13:00
12349,19,1,1757.55,1757.55,2011-11-21 09:51:00
12350,310,1,334.4,334.4,2011-02-02 16:01:00
12352,36,8,2506.04,313.255,2011-11-03 14:37:00
12353,204,1,89.0,89.0,2011-05-19 17:47:00
12354,232,1,1079.4,1079.4,2011-04-21 13:11:00
12355,214,1,459.4,459.4,2011-05-09 13:49:00
12356,23,3,2811.43,937.1433333333332,2011-11-17 08:40:00
12358,2,2,1168.06,584.03,2011-12-08 10:26:00
12359,58,4,6372.58,1593.145,2011-10-13 12:47:00
12360,52,3,2662.06,887.3533333333334,2011-10-18 15:22:00
12361,287,1,189.9,189.9,2011-02-25 13:51:00
12362,3,10,5226.23,522.6229999999999,2011-12-06 15:40:00
12363,110,2,552.0,276.0,2011-08-22 10:18:00
12364,8,4,1313.1,328.275,2011-12-02 10:22:00
12365,291,2,641.38,320.69,2011-02-21 14:04:00
12367,4,1,168.9,168.9,2011-12-05 16:48:00
12370,51,4,3545.69,886.4225,2011-10-19 14:51:00
12371,45,2,1887.96,943.98,2011-10-26 10:16:00
12372,72,3,1298.04,432.68,2011-09-29 12:12:00
12373,311,1,364.6,364.6,2011-02-01 13:10:00
12374,25,1,742.9300000000001,742.9300000000001,2011-11-14 15:37:00
12375,11,2,457.5,228.75,2011-11-29 10:36:00
12377,315,2,1628.12,814.06,2011-01-28 15:45:00
12379,82,2,852.24,426.12,2011-09-19 10:09:00
12380,22,4,2724.81,681.2025,2011-11-18 11:27:00
12381,5,5,1845.31,369.062,2011-12-05 12:44:00
12383,185,5,1850.56,370.112,2011-06-08 08:02:00
12384,29,2,585.27,292.635,2011-11-11 08:39:00
12386,338,2,401.9,200.95,2011-01-06 12:37:00
12388,16,6,2780.66,463.4433333333333,2011-11-24 12:30:00
12390,80,1,549.84,549.84,2011-09-21 09:33:00
12391,22,1,460.89,460.89,2011-11-18 12:07:00
12393,72,4,1582.6,395.65,2011-09-28 15:41:00
12394,64,2,1272.48,636.24,2011-10-07 08:08:00
12395,19,12,3018.63,251.5525,2011-11-20 15:21:00
12397,36,2,2409.9,1204.95,2011-11-04 09:52:00
12398,46,1,1635.66,1635.66,2011-10-25 10:27:00
12399,119,4,1108.65,277.1625,2011-08-12 13:15:00
12401,303,1,84.3,84.3,2011-02-09 13:50:00
12402,323,1,225.6,225.6,2011-01-20 13:49:00
12403,50,1,427.7,427.7,2011-10-21 10:51:00
12405,149,1,1710.39,1710.39,2011-07-14 08:52:00
12406,22,2,3415.3,1707.65,2011-11-17 19:22:00
12407,50,5,1708.12,341.624,2011-10-21 10:11:00
12408,33,5,2888.55,577.71,2011-11-07 12:27:00
12410,309,2,693.3299999999999,346.665,2011-02-04 10:39:00
12412,75,3,1226.88,408.96,2011-09-26 10:16:00
12413,67,3,758.1,252.7,2011-10-04 09:00:00
12414,217,3,562.41,187.47,2011-05-06 14:51:00
12417,3,9,3649.1,405.4555555555555,2011-12-06 14:52:00
12418,113,1,668.58,668.58,2011-08-19 11:08:00
12420,64,1,600.39,600.39,2011-10-07 08:55:00
12421,16,4,807.04,201.76,2011-11-24 09:07:00
12422,96,3,803.5600000000001,267.8533333333333,2011-09-05 09:48:00
12423,1,8,1859.31,232.41375,2011-12-09 10:10:00
12424,163,2,1760.96,880.48,2011-06-30 12:06:00
12425,78,1,777.2,777.2,2011-09-22 17:31:00
12426,195,1,582.73,582.73,2011-05-29 12:26:00
12427,22,3,825.8,275.26666666666665,2011-11-18 08:56:00
12428,26,9,7956.46,884.0511111111111,2011-11-14 08:22:00
12429,9,4,3750.4,937.6,2011-11-30 17:22:00
12430,43,1,256.4,256.4,2011-10-27 15:09:00
12431,36,15,6487.45,432.4966666666666,2011-11-04 11:55:00
12432,43,5,5059.32,1011.864,2011-10-28 11:43:00
12433,1,7,13375.87,1910.838571428572,2011-12-09 10:02:00
12434,85,2,806.14,403.07,2011-09-16 12:38:00
12436,100,1,509.01,509.01,2011-09-01 12:09:00
12437,2,18,4951.41,275.0783333333333,2011-12-08 11:35:00
12438,14,2,2906.85,1453.425,2011-11-25 13:28:00
12441,367,1,173.55,173.55,2010-12-08 10:45:00
12442,3,1,172.06,172.06,2011-12-06 14:22:00
12444,21,5,5005.46,1001.092,2011-11-18 13:23:00
12445,22,1,133.4,133.4,2011-11-17 18:43:00
12446,58,1,1002.31,1002.31,2011-10-13 12:50:00
12447,243,1,476.49,476.49,2011-04-10 13:25:00
12448,44,1,449.45,449.45,2011-10-26 13:46:00
12449,22,4,4067.29,1016.8225,2011-11-17 13:46:00
12450,156,2,197.88,98.94,2011-07-06 14:41:00
12451,11,5,9035.52,1807.104,2011-11-29 08:40:00
12452,17,2,430.57,215.285,2011-11-23 10:28:00
12453,134,1,707.09,707.09,2011-07-28 14:08:00
12455,73,6,2466.86,411.1433333333334,2011-09-27 15:31:00
12456,44,3,3181.04,1060.3466666666666,2011-10-26 14:41:00
12457,66,7,2363.23,337.6042857142857,2011-10-04 13:13:00
12458,71,2,947.4,473.7,2011-09-29 15:25:00
12461,94,2,826.88,413.44,2011-09-06 16:57:00
12462,19,2,1189.59,594.795,2011-11-21 09:11:00
12463,53,4,1344.78,336.195,2011-10-17 13:44:00
12464,10,8,1212.05,151.50625,2011-11-29 13:33:00
12465,17,2,742.1899999999999,371.095,2011-11-22 16:34:00
12468,188,2,729.5400000000001,364.77,2011-06-05 11:36:00
12471,2,30,19824.05,660.8016666666666,2011-12-07 15:43:00
12472,32,7,6572.11,938.8728571428572,2011-11-07 14:01:00
12473,29,5,3938.55,787.7099999999999,2011-11-10 13:46:00
12474,17,18,7375.79,409.7661111111111,2011-11-22 14:39:00
12475,54,1,723.38,723.38,2011-10-17 10:10:00
12476,16,11,6816.42,619.6745454545454,2011-11-24 12:40:00
12478,4,1,680.99,680.99,2011-12-06 09:56:00
12479,11,1,527.2,527.2,2011-11-28 13:26:00
12480,28,4,3281.63,820.4075,2011-11-11 14:52:00
12481,23,10,5596.32,559.632,2011-11-17 08:29:00
12483,17,8,2484.98,310.6225,2011-11-22 17:02:00
12484,33,6,4541.72,756.9533333333334,2011-11-07 11:37:00
12488,10,3,1298.66,432.8866666666667,2011-11-30 08:50:00
12489,336,1,334.93,334.93,2011-01-07 13:13:00
12490,5,10,5417.93,541.793,2011-12-04 16:07:00
12491,39,1,460.4,460.4,2011-11-01 12:18:00
12492,63,2,263.21000000000004,131.60500000000002,2011-10-07 15:15:00
12493,166,2,433.74,216.87,2011-06-27 10:17:00
12494,16,7,1246.1,178.01428571428573,2011-11-24 09:34:00
12497,82,1,1043.1,1043.1,2011-09-19 12:29:00
12498,21,3,403.7000000000001,134.5666666666667,2011-11-18 12:53:00
12500,23,11,4257.82,387.07454545454544,2011-11-16 16:20:00
12502,96,5,3723.87,744.774,2011-09-05 11:52:00
12504,18,2,482.05,241.025,2011-11-21 16:02:00
12506,233,1,73.5,73.5,2011-04-21 08:54:00
12507,134,3,1304.81,434.93666666666667,2011-07-28 17:09:00
12508,26,2,398.27,199.135,2011-11-13 15:37:00
12509,284,1,176.5,176.5,2011-02-28 14:45:00
12510,143,2,982.57,491.285,2011-07-20 10:15:00
12512,66,2,138.03,69.015,2011-10-04 14:55:00
12513,113,1,612.29,612.29,2011-08-19 10:51:00
12514,267,1,1017.68,1017.68,2011-03-17 16:38:00
12515,353,1,383.7,383.7,2010-12-21 15:43:00
12516,78,2,1312.06,656.03,2011-09-23 09:13:00
12517,28,5,2502.84,500.568,2011-11-11 14:04:00
12518,1,5,2056.89,411.378,2011-12-09 10:13:00
12519,64,1,340.84,340.84,2011-10-07 09:26:00
12520,79,5,2634.26,526.8520000000001,2011-09-21 15:23:00
12521,143,1,599.68,599.68,2011-07-20 10:51:00
12522,39,2,192.72,96.36,2011-10-31 15:30:00
12523,19,11,1789.77,162.70636363636365,2011-11-20 12:55:00
12524,9,8,4485.72,560.715,2011-11-30 15:31:00
12526,1,3,1316.66,438.8866666666667,2011-12-09 12:09:00
12527,82,3,348.71000000000004,116.23666666666668,2011-09-19 11:55:00
12528,9,6,1933.48,322.24666666666667,2011-11-30 14:40:00
12530,60,4,1662.28,415.57,2011-10-11 12:34:00
12531,15,1,125.22,125.22,2011-11-25 11:12:00
12532,30,1,349.83000000000004,349.83000000000004,2011-11-09 13:47:00
12534,131,1,1089.18,1089.18,2011-08-01 10:26:00
12535,92,2,716.35,358.175,2011-09-09 08:48:00
12538,29,1,363.95,363.95,2011-11-10 17:16:00
12539,22,4,5568.35,1392.0875,2011-11-17 13:30:00
12540,20,17,13400.24,788.2494117647059,2011-11-20 11:31:00
12541,30,3,981.18,327.06,2011-11-10 10:40:00
12544,36,1,372.7,372.7,2011-11-03 16:15:00
12545,75,2,1000.39,500.195,2011-09-25 13:39:00
12546,47,2,1161.5,580.75,2011-10-24 12:09:00
12547,198,2,207.8,103.9,2011-05-26 12:38:00
12548,166,1,95.2,95.2,2011-06-26 15:35:00
12550,79,1,964.83,964.83,2011-09-21 14:35:00
12551,358,1,168.0,168.0,2010-12-17 11:23:00
12552,39,2,437.82,218.91,2011-11-01 10:02:00
12553,8,10,3692.28,369.228,2011-12-01 16:38:00
12556,50,2,603.71,301.855,2011-10-20 13:06:00
12558,8,1,269.96,269.96,2011-12-02 10:41:00
12559,311,2,561.71,280.855,2011-02-02 09:49:00
12560,5,3,2134.01,711.3366666666667,2011-12-04 13:54:00
12561,303,1,238.85,238.85,2011-02-10 11:39:00
12562,8,7,3781.74,540.2485714285715,2011-12-01 17:20:00
12564,261,1,456.9,456.9,2011-03-23 14:55:00
12565,289,1,145.92,145.92,2011-02-24 10:34:00
12566,86,1,351.65,351.65,2011-09-14 14:30:00
12567,23,10,9401.28,940.128,2011-11-17 11:02:00
12571,40,2,519.61,259.805,2011-10-31 10:19:00
12572,9,2,1020.42,510.21,2011-12-01 09:20:00
12573,227,1,160.54000000000002,160.54000000000002,2011-04-26 15:52:00
12574,316,1,218.45,218.45,2011-01-28 09:20:00
12576,36,5,1315.83,263.166,2011-11-04 10:11:00
12577,35,3,657.8,219.26666666666665,2011-11-04 13:24:00
12578,21,2,2794.51,1397.255,2011-11-18 13:30:00
12579,78,1,440.42,440.42,2011-09-22 17:15:00
12580,247,1,415.7,415.7,2011-04-07 10:24:00
12581,40,1,197.71,197.71,2011-10-31 08:56:00
12582,239,2,511.36,255.68,2011-04-15 08:45:00
12583,3,15,7281.38,485.42533333333336,2011-12-07 08:07:00
12584,4,9,2338.15,259.7944444444445,2011-12-06 09:35:00
12585,234,2,2040.1,1020.05,2011-04-19 13:39:00
12586,17,1,196.94000000000003,196.94000000000003,2011-11-22 16:24:00
12587,8,1,144.0,144.0,2011-12-02 12:47:00
12588,39,1,214.9,214.9,2011-10-31 15:01:00
12589,29,2,646.68,323.34,2011-11-11 10:19:00
12591,317,1,452.85,452.85,2011-01-26 14:35:00
12592,92,2,437.6,218.8,2011-09-08 15:04:00
12593,109,3,418.1,139.36666666666665,2011-08-23 12:43:00
12594,38,10,3338.2200000000003,333.822,2011-11-02 12:20:00
12596,51,2,618.27,309.135,2011-10-19 13:02:00
12597,19,4,3811.22,952.805,2011-11-20 13:33:00
12598,10,8,3023.08,377.885,2011-11-30 12:18:00
12599,29,7,1032.58,147.51142857142855,2011-11-10 13:34:00
12600,29,10,2599.04,259.904,2011-11-11 10:29:00
12601,190,5,577.0600000000001,115.412,2011-06-03 10:17:00
12602,59,1,153.12,153.12,2011-10-12 11:22:00
12603,22,1,739.1999999999999,739.1999999999999,2011-11-18 10:42:00
12604,79,2,254.18,127.09,2011-09-21 14:08:00
12607,60,1,1579.51,1579.51,2011-10-10 16:06:00
12609,78,3,1126.85,375.6166666666666,2011-09-22 16:34:00
12610,23,5,2099.54,419.908,2011-11-17 09:34:00
12611,52,1,1193.32,1193.32,2011-10-18 13:12:00
12612,74,1,704.0400000000001,704.0400000000001,2011-09-26 15:35:00
12613,57,5,3344.38,668.876,2011-10-13 14:59:00
12614,278,1,315.6,315.6,2011-03-07 10:22:00
12615,2,4,2291.19,572.7975,2011-12-07 15:02:00
12616,95,2,713.3,356.65,2011-09-05 15:17:00
12617,29,1,355.53,355.53,2011-11-10 14:39:00
12618,22,1,177.31,177.31,2011-11-18 11:10:00
12619,16,9,3641.24,404.5822222222222,2011-11-23 14:52:00
12620,15,3,1339.41,446.47,2011-11-25 10:20:00
12621,2,20,13689.67,684.4835,2011-12-08 11:25:00
12622,232,1,180.1,180.1,2011-04-21 16:39:00
12623,276,1,305.1,305.1,2011-03-08 13:50:00
12624,106,2,641.13,320.565,2011-08-25 15:04:00
12625,212,2,2683.82,1341.91,2011-05-12 09:54:00
12626,23,9,6620.48,735.6088888888888,2011-11-16 16:06:00
12627,11,7,4478.53,639.79,2011-11-29 12:07:00
12628,4,3,786.46,262.15333333333336,2011-12-05 13:15:00
12630,10,2,1270.88,635.44,2011-11-30 10:48:00
12631,57,1,640.5,640.5,2011-10-13 13:53:00
12633,59,4,2163.98,540.995,2011-10-12 11:40:00
12635,90,2,1689.18,844.59,2011-09-11 11:04:00
12637,67,8,6021.9,752.7375,2011-10-03 13:46:00
12638,33,1,671.69,671.69,2011-11-06 13:11:00
12639,239,1,486.1,486.1,2011-04-15 12:48:00
12640,24,3,1174.58,391.5266666666666,2011-11-16 11:52:00
12641,115,1,185.9,185.9,2011-08-16 13:26:00
12642,25,3,1013.26,337.75333333333333,2011-11-14 15:03:00
12643,128,6,3344.64,557.4399999999999,2011-08-03 12:56:00
12644,130,1,477.91,477.91,2011-08-02 10:33:00
12645,34,4,1775.18,443.795,2011-11-06 12:38:00
12646,5,2,1346.97,673.485,2011-12-05 10:14:00
12647,22,12,3722.82,310.235,2011-11-17 12:56:00
12648,155,1,318.05,318.05,2011-07-08 11:55:00
12649,107,3,623.51,207.83666666666667,2011-08-24 14:41:00
12650,3,1,314.44,314.44,2011-12-06 16:34:00
12651,335,1,114.0,114.0,2011-01-09 12:46:00
12652,331,1,919.98,919.98,2011-01-12 15:00:00
12653,149,2,2209.85,1104.925,2011-07-14 10:41:00
12654,11,5,601.98,120.396,2011-11-29 10:10:00
12656,17,5,4051.17,810.234,2011-11-22 13:42:00
12657,11,4,1643.18,410.795,2011-11-28 15:47:00
12658,19,1,686.05,686.05,2011-11-21 10:22:00
12659,30,1,91.68,91.68,2011-11-10 11:53:00
12660,11,1,245.1,245.1,2011-11-28 13:26:00
12662,1,11,3849.78,349.98,2011-12-09 11:59:00
12664,8,9,4881.88,542.4311111111111,2011-12-01 17:07:00
12665,325,1,63.0,63.0,2011-01-19 08:34:00
12667,58,1,620.13,620.13,2011-10-12 17:00:00
12668,12,4,3807.15,951.7875,2011-11-28 10:56:00
12669,151,3,2744.03,914.6766666666666,2011-07-12 09:54:00
12670,10,5,2996.05,599.21,2011-11-29 15:23:00
12672,330,1,225.9,225.9,2011-01-14 09:20:00
12673,5,2,610.52,305.26,2011-12-04 13:55:00
