customer_id,recency_days,frequency,monetary_value,average_order_value,last_purchase_date,cluster
12346,326,1,77183.6,77183.6,2011-01-18 10:01:00,0
12347,2,7,4310.0,615.7142857142857,2011-12-07 15:52:00,2
12348,75,4,1797.24,449.31,2011-09-25 13:13:00,2
12349,19,1,1757.55,1757.55,2011-11-21 09:51:00,2
12350,310,1,334.4,334.4,2011-02-02 16:01:00,2
12352,36,8,2506.04,313.255,2011-11-03 14:37:00,2
12353,204,1,89.0,89.0,2011-05-19 17:47:00,2
12354,232,1,1079.4,1079.4,2011-04-21 13:11:00,2
12355,214,1,459.4,459.4,2011-05-09 13:49:00,2
12356,23,3,2811.43,937.1433333333332,2011-11-17 08:40:00,2
12357,33,1,6207.67,6207.67,2011-11-06 16:07:00,2
12358,2,2,1168.06,584.03,2011-12-08 10:26:00,2
12359,58,4,6372.58,1593.145,2011-10-13 12:47:00,2
12360,52,3,2662.06,887.3533333333334,2011-10-18 15:22:00,2
12361,287,1,189.9,189.9,2011-02-25 13:51:00,2
12362,3,10,5226.23,522.6229999999999,2011-12-06 15:40:00,2
12363,110,2,552.0,276.0,2011-08-22 10:18:00,2
12364,8,4,1313.1,328.275,2011-12-02 10:22:00,2
12365,291,2,641.38,320.69,2011-02-21 14:04:00,2
12367,4,1,168.9,168.9,2011-12-05 16:48:00,2
12370,51,4,3545.69,886.4225,2011-10-19 14:51:00,2
12371,45,2,1887.96,943.98,2011-10-26 10:16:00,2
12372,72,3,1298.04,432.68,2011-09-29 12:12:00,2
12373,311,1,364.6,364.6,2011-02-01 13:10:00,2
12374,25,1,742.9300000000001,742.9300000000001,2011-11-14 15:37:00,2
12375,11,2,457.5,228.75,2011-11-29 10:36:00,2
12377,315,2,1628.12,814.06,2011-01-28 15:45:00,2
12378,130,1,4008.62,4008.62,2011-08-02 10:34:00,2
12379,82,2,852.24,426.12,2011-09-19 10:09:00,2
12380,22,4,2724.81,681.2025,2011-11-18 11:27:00,2
12381,5,5,1845.31,369.062,2011-12-05 12:44:00,2
12383,185,5,1850.56,370.112,2011-06-08 08:02:00,2
12384,29,2,585.27,292.635,2011-11-11 08:39:00,2
12386,338,2,401.9,200.95,2011-01-06 12:37:00,2
12388,16,6,2780.66,463.4433333333333,2011-11-24 12:30:00,2
12390,80,1,549.84,549.84,2011-09-21 09:33:00,2
12391,22,1,460.89,460.89,2011-11-18 12:07:00,2
12393,72,4,1582.6,395.65,2011-09-28 15:41:00,2
12394,64,2,1272.48,636.24,2011-10-07 08:08:00,2
12395,19,12,3018.63,251.5525,2011-11-20 15:21:00,2
12397,36,2,2409.9,1204.95,2011-11-04 09:52:00,2
12398,46,1,1635.66,1635.66,2011-10-25 10:27:00,2
12399,119,4,1108.65,277.1625,2011-08-12 13:15:00,2
12401,303,1,84.3,84.3,2011-02-09 13:50:00,2
12402,323,1,225.6,225.6,2011-01-20 13:49:00,2
12403,50,1,427.7,427.7,2011-10-21 10:51:00,2
12405,149,1,1710.39,1710.39,2011-07-14 08:52:00,2
12406,22,2,3415.3,1707.65,2011-11-17 19:22:00,2
12407,50,5,1708.12,341.624,2011-10-21 10:11:00,2
12408,33,5,2888.55,577.71,2011-11-07 12:27:00,2
12409,79,3,11072.67,3690.89,2011-09-22 10:38:00,2
12410,309,2,693.3299999999999,346.665,2011-02-04 10:39:00,2
12412,75,3,1226.88,408.96,2011-09-26 10:16:00,2
12413,67,3,758.1,252.7,2011-10-04 09:00:00,2
12414,217,3,562.41,187.47,2011-05-06 14:51:00,2
12415,24,21,124914.53,5948.310952380953,2011-11-15 14:22:00,2
12417,3,9,3649.1,405.4555555555555,2011-12-06 14:52:00,2
12418,113,1,668.58,668.58,2011-08-19 11:08:00,2
12420,64,1,600.39,600.39,2011-10-07 08:55:00,2
12421,16,4,807.04,201.76,2011-11-24 09:07:00,2
12422,96,3,803.5600000000001,267.8533333333333,2011-09-05 09:48:00,2
12423,1,8,1859.31,232.41375,2011-12-09 10:10:00,2
12424,163,2,1760.96,880.48,2011-06-30 12:06:00,2
12425,78,1,777.2,777.2,2011-09-22 17:31:00,2
12426,195,1,582.73,582.73,2011-05-29 12:26:00,2
12427,22,3,825.8,275.26666666666665,2011-11-18 08:56:00,2
12428,26,9,7956.46,884.0511111111111,2011-11-14 08:22:00,2
12429,9,4,3750.4,937.6,2011-11-30 17:22:00,2
12430,43,1,256.4,256.4,2011-10-27 15:09:00,2
12431,36,15,6487.45,432.4966666666666,2011-11-04 11:55:00,2
12432,43,5,5059.32,1011.864,2011-10-28 11:43:00,2
12433,1,7,13375.87,1910.838571428572,2011-12-09 10:02:00,2
12434,85,2,806.14,403.07,2011-09-16 12:38:00,2
12435,80,2,7829.89,3914.945,2011-09-21 09:06:00,2
