algorithm,feature_set,params,n_clusters,inertia,noise_ratio
kmeans,income_spending,"{""n_clusters"": 2, ""random_state"": 42}",2,272.7262937096455,0.0
kmeans,income_spending,"{""n_clusters"": 3, ""random_state"": 42}",3,156.23784749493421,0.0
kmeans,income_spending,"{""n_clusters"": 4, ""random_state"": 42}",4,106.44825523926254,0.0
kmeans,income_spending,"{""n_clusters"": 5, ""random_state"": 42}",5,98.20090068496681,0.0
kmeans,income_spending,"{""n_clusters"": 6, ""random_state"": 42}",6,52.43612871836853,0.0
kmeans,income_spending,"{""n_clusters"": 7, ""random_state"": 42}",7,49.77337745186232,0.0
kmeans,income_spending,"{""n_clusters"": 8, ""random_state"": 42}",8,35.79360380235544,0.0
kmeans,income_spending,"{""n_clusters"": 9, ""random_state"": 42}",9,31.00384009448486,0.0
kmeans,income_spending,"{""n_clusters"": 10, ""random_state"": 42}",10,29.425320790681045,0.0
agglomerative,income_spending,"{""linkage"": ""ward"", ""n_clusters"": 2}",2,,0.0
agglomerative,income_spending,"{""linkage"": ""complete"", ""n_clusters"": 2}",2,,0.0
agglomerative,income_spending,"{""linkage"": ""average"", ""n_clusters"": 2}",2,,0.0
agglomerative,income_spending,"{""linkage"": ""single"", ""n_clusters"": 2}",2,,0.0
agglomerative,income_spending,"{""linkage"": ""ward"", ""n_clusters"": 3}",3,,0.0
agglomerative,income_spending,"{""linkage"": ""complete"", ""n_clusters"": 3}",3,,0.0
agglomerative,income_spending,"{""linkage"": ""average"", ""n_clusters"": 3}",3,,0.0
agglomerative,income_spending,"{""linkage"": ""single"", ""n_clusters"": 3}",3,,0.0
agglomerative,income_spending,"{""linkage"": ""ward"", ""n_clusters"": 4}",4,,0.0
agglomerative,income_spending,"{""linkage"": ""complete"", ""n_clusters"": 4}",4,,0.0
agglomerative,income_spending,"{""linkage"": ""average"", ""n_clusters"": 4}",4,,0.0
agglomerative,income_spending,"{""linkage"": ""single"", ""n_clusters"": 4}",4,,0.0
agglomerative,income_spending,"{""linkage"": ""ward"", ""n_clusters"": 5}",5,,0.0
agglomerative,income_spending,"{""linkage"": ""complete"", ""n_clusters"": 5}",5,,0.0
