algorithm,feature_set,params,n_clusters,inertia,noise_ratio
kmeans,rfm,"{""n_clusters"": 2, ""random_state"": 42}",2,12991.961519649903,0.0
kmeans,rfm,"{""n_clusters"": 3, ""random_state"": 42}",3,9337.89992491758,0.0
kmeans,rfm,"{""n_clusters"": 4, ""random_state"": 42}",4,5590.832833992346,0.0
kmeans,rfm,"{""n_clusters"": 5, ""random_state"": 42}",5,4450.850746834254,0.0
kmeans,rfm,"{""n_clusters"": 6, ""random_state"": 42}",6,3406.7580588547003,0.0
kmeans,rfm,"{""n_clusters"": 7, ""random_state"": 42}",7,2744.912287824645,0.0
kmeans,rfm,"{""n_clusters"": 8, ""random_state"": 42}",8,2233.9163723070096,0.0
kmeans,rfm,"{""n_clusters"": 9, ""random_state"": 42}",9,2094.7222574643956,0.0
kmeans,rfm,"{""n_clusters"": 10, ""random_state"": 42}",10,1656.0070882737548,0.0
agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 2}",2,,0.0
agglomerative,rfm,"{""linkage"": ""complete"", ""n_clusters"": 2}",2,,0.0
agglomerative,rfm,"{""linkage"": ""average"", ""n_clusters"": 2}",2,,0.0
agglomerative,rfm,"{""linkage"": ""single"", ""n_clusters"": 2}",2,,0.0
agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 3}",3,,0.0
agglomerative,rfm,"{""linkage"": ""complete"", ""n_clusters"": 3}",3,,0.0
agglomerative,rfm,"{""linkage"": ""average"", ""n_clusters"": 3}",3,,0.0
agglomerative,rfm,"{""linkage"": ""single"", ""n_clusters"": 3}",3,,0.0
agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 4}",4,,0.0
agglomerative,rfm,"{""linkage"": ""complete"", ""n_clusters"": 4}",4,,0.0
agglomerative,rfm,"{""linkage"": ""average"", ""n_clusters"": 4}",4,,0.0
agglomerative,rfm,"{""linkage"": ""single"", ""n_clusters"": 4}",4,,0.0
agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 5}",5,,0.0
agglomerative,rfm,"{""linkage"": ""complete"", ""n_clusters"": 5}",5,,0.0
agglomerative,rfm,"{""linkage"": ""average"", ""n_clusters"": 5}",5,,0.0
agglomerative,rfm,"{""linkage"": ""single"", ""n_clusters"": 5}",5,,0.0
agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 6}",6,,0.0
agglomerative,rfm,"{""linkage"": ""complete"", ""n_clusters"": 6}",6,,0.0
agglomerative,rfm,"{""linkage"": ""average"", ""n_clusters"": 6}",6,,0.0
agglomerative,rfm,"{""linkage"": ""single"", ""n_clusters"": 6}",6,,0.0
agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 7}",7,,0.0
agglomerative,rfm,"{""linkage"": ""complete"", ""n_clusters"": 7}",7,,0.0
agglomerative,rfm,"{""linkage"": ""average"", ""n_clusters"": 7}",7,,0.0
agglomerative,rfm,"{""linkage"": ""single"", ""n_clusters"": 7}",7,,0.0
agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 8}",8,,0.0
agglomerative,rfm,"{""linkage"": ""complete"", ""n_clusters"": 8}",8,,0.0
agglomerative,rfm,"{""linkage"": ""average"", ""n_clusters"": 8}",8,,0.0
agglomerative,rfm,"{""linkage"": ""single"", ""n_clusters"": 8}",8,,0.0
agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 9}",9,,0.0
agglomerative,rfm,"{""linkage"": ""complete"", ""n_clusters"": 9}",9,,0.0
agglomerative,rfm,"{""linkage"": ""average"", ""n_clusters"": 9}",9,,0.0
agglomerative,rfm,"{""linkage"": ""single"", ""n_clusters"": 9}",9,,0.0
agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 10}",10,,0.0
agglomerative,rfm,"{""linkage"": ""complete"", ""n_clusters"": 10}",10,,0.0
agglomerative,rfm,"{""linkage"": ""average"", ""n_clusters"": 10}",10,,0.0
agglomerative,rfm,"{""linkage"": ""single"", ""n_clusters"": 10}",10,,0.0
dbscan,rfm,"{""eps"": 0.3, ""min_samples"": 3}",6,,0.02466574458275703
dbscan,rfm,"{""eps"": 0.3, ""min_samples"": 4}",2,,0.028354080221300138
dbscan,rfm,"{""eps"": 0.3, ""min_samples"": 5}",2,,0.029737206085753802
dbscan,rfm,"{""eps"": 0.3, ""min_samples"": 8}",1,,0.03296449976947902
dbscan,rfm,"{""eps"": 0.3, ""min_samples"": 10}",1,,0.036883356385431075
dbscan,rfm,"{""eps"": 0.4, ""min_samples"": 3}",3,,0.016597510373443983
dbscan,rfm,"{""eps"": 0.4, ""min_samples"": 4}",2,,0.01867219917012448
dbscan,rfm,"{""eps"": 0.4, ""min_samples"": 5}",1,,0.02074688796680498
dbscan,rfm,"{""eps"": 0.4, ""min_samples"": 8}",1,,0.024896265560165973
dbscan,rfm,"{""eps"": 0.4, ""min_samples"": 10}",1,,0.026509912402028584
