candidate_id,algorithm,feature_set,params,n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,inertia,noise_ratio,acceptable_noise,valid_candidate,preferred_cluster_count,interpretability_rank,feature_set_rank
0,kmeans,rfm,"{""n_clusters"": 2, ""random_state"": 42}",2,0.9668333381045542,0.14522226443156264,1455.1403051959971,12991.96151964993,0.0,True,True,False,0,1
1,kmeans,rfm,"{""n_clusters"": 3, ""random_state"": 42}",3,0.5463540260268219,0.4938809536793265,1860.2240416728187,9337.899924917569,0.0,True,True,True,0,1
2,kmeans,rfm,"{""n_clusters"": 4, ""random_state"": 42}",4,0.5768732846307515,0.5979977466326261,3039.0861995574332,5590.832833992352,0.0,True,True,True,0,1
3,kmeans,rfm,"{""n_clusters"": 5, ""random_state"": 42}",5,0.5803763966944889,0.522604538977232,3139.8925322043524,4450.850746834254,0.0,True,True,True,0,1
4,kmeans,rfm,"{""n_clusters"": 6, ""random_state"": 42}",6,0.5985502472889327,0.6194398947227936,3546.526465654011,3406.7580588547085,0.0,True,True,True,0,1
5,kmeans,rfm,"{""n_clusters"": 7, ""random_state"": 42}",7,0.5777391889020954,0.6449874937981734,3841.245806046494,2744.912287824657,0.0,True,True,False,0,1
6,kmeans,rfm,"{""n_clusters"": 8, ""random_state"": 42}",8,0.4938000282825525,0.5836159191080149,4186.212545166611,2233.9163723070146,0.0,True,True,False,0,1
7,kmeans,rfm,"{""n_clusters"": 9, ""random_state"": 42}",9,0.4874190805575881,0.6872616798768033,3941.3938483613897,2094.722257464394,0.0,True,True,False,0,1
8,kmeans,rfm,"{""n_clusters"": 10, ""random_state"": 42}",10,0.4636737328567842,0.6675745781106309,4557.9852946358615,1656.007088273758,0.0,True,True,False,0,1
9,agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 2}",2,0.9668333381045542,0.14522226443156264,1455.1403051959971,,0.0,True,True,False,1,1
10,agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 3}",3,0.8852828780901077,0.6337183164928533,1871.2994696435435,,0.0,True,True,True,1,1
11,agglomerative,rfm,"{""linkage"": ""ward"", ""n_clusters"": 4}",4,0.5764262293898301,0.6457631598313696,2899.2884530413166,,0.0,True,True,True,1,1
